time_stamp,state,trend,seasonality,total_rx,total_rx_lag1,consumer_crm,consumer_website,consumer_display_campaign1,consumer_display_campaign2,consumer_display_campaign3,consumer_display_campaign4,consumer_coupon1,consumer_coupon2,consumer_sem_campaign1,consumer_sem_campaign2,consumer_sem_campaign3,consumer_sem_campaign4,hcp_website1,hcp_crm_campaign1,hcp_crm_campaign2,hcp_crm_campaign3,hcp_crm_campaign4,hcp_website2,hcp_display_campaign1,hcp_display_campaign2,hcp_display_campaign3,hcp_emr_campaign1,hcp_emr_campaign2,hcp_emr_campaign3,hcp_coupon1,hcp_coupon2,hcp_coupon3,hcp_coupon4,hcp_sem_campaign1,hcp_sem_campaign2,hcp_sem_campaign3,hcp_sales_rep_detailing
20150201,IL,1,February,29080.992,30962.712,1316,23359,0,0,0,0,56,4423,84845,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4180,73,602,16956,4722,0,1427.5
20150201,IN,1,February,32727.242,35020.582,1086,10118,0,0,0,0,157,3506,46950,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2855,55,401,10662,2443,0,1675
20150201,KS,1,February,12171.243,12776.336,612,4638,0,0,0,0,36,1903,19781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1945,34,311,4608,1186,0,555
20150201,KY,1,February,16455.574,18343.364,473,5805,0,0,0,0,80,1411,27813,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2338,29,312,6375,1286,0,735
20150201,LA,1,February,36593.114,41667.647,1275,7770,0,0,0,0,1331,3566,36025,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4808,51,606,9008,1194,0,2188.5
20150201,MA,1,February,14015.918,15165.866,231,10839,0,0,0,0,2,586,48715,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1031,11,146,10310,2812,0,496
20150201,MD,1,February,22232.348,24519.313,582,6812,0,0,0,0,69,1336,40493,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1382,35,231,8440,2429,0,1176.5
20150201,ME,1,February,6609.22,7465.947,117,2099,0,0,0,0,14,295,9797,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,208,11,32,2468,439,0,229
20150201,MI,1,February,21718.019,24132.468,679,15057,0,0,0,0,42,1844,63271,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1626,42,225,14008,3517,0,1271
20150201,MN,1,February,11681.168,12421.543,326,7868,0,0,0,0,21,801,33119,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,678,18,162,6599,2215,0,466
20150201,MO,1,February,19063.618,20683.661,851,9403,0,0,0,0,72,2608,37906,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2452,70,327,8111,1860,0,1035
20150201,MS,1,February,14978.617,16333.266,494,4001,0,0,0,0,206,1461,19350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,29,191,4609,930,0,798.5
20150201,MT,1,February,2165.727,2327.527,54,1022,0,0,0,0,17,142,5185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,1,17,1213,379,0,83.5
20150201,NC,1,February,40185.233,45555.139,1555,18458,0,0,0,0,626,4403,70279,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3822,72,535,15675,4059,0,1667
